input,output,instruction,text
"Get the names, images, and status of the containers for me.",docker ps --format '{{.Names}}\t{{.Image}}\t{{.Status}}',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Get the names, images, and status of the containers for me.

### Response:
docker ps --format '{{.Names}}\t{{.Image}}\t{{.Status}}'</s>"
Let me know the current status and sizes of the running containers.  ,docker ps -s,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Let me know the current status and sizes of the running containers.  

### Response:
docker ps -s</s>"
Please show me the Docker containers that have exited and are related to the nginx image.,docker ps -a --filter 'status=exited' --filter 'ancestor=nginx',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please show me the Docker containers that have exited and are related to the nginx image.

### Response:
docker ps -a --filter 'status=exited' --filter 'ancestor=nginx'</s>"
List all the containers that are currently running on the network my-network.,docker ps -a --filter 'network=my-network' --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
List all the containers that are currently running on the network my-network.

### Response:
docker ps -a --filter 'network=my-network' --filter 'status=running'</s>"
"Give me a list of images along with their repository, tag and ID.","docker images -q --format ""{{.Repository}},{{.Tag}},{{.ID}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me a list of images along with their repository, tag and ID.

### Response:
docker images -q --format ""{{.Repository}},{{.Tag}},{{.ID}}""</s>"
I need the complete details of all the currently running containers.,docker ps --no-trunc,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
I need the complete details of all the currently running containers.

### Response:
docker ps --no-trunc</s>"
Please show me the tasks currently running in Docker.,docker ps --filter 'is-task=true',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please show me the tasks currently running in Docker.

### Response:
docker ps --filter 'is-task=true'</s>"
Show me all the running containers that expose port 80.,docker ps -a --filter 'status=running' --filter 'expose=80',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show me all the running containers that expose port 80.

### Response:
docker ps -a --filter 'status=running' --filter 'expose=80'</s>"
Show me the list of images with dangling status.,docker images -f dangling=true,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show me the list of images with dangling status.

### Response:
docker images -f dangling=true</s>"
I want to know the last 4 containers. ,docker ps --last 4,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
I want to know the last 4 containers. 

### Response:
docker ps --last 4</s>"
Display the running containers having an unhealthy health status.,docker ps --filter 'status=running' --filter 'health=unhealthy',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Display the running containers having an unhealthy health status.

### Response:
docker ps --filter 'status=running' --filter 'health=unhealthy'</s>"
Find the containers that have the ancestor as mongo and volumes set to /app.,docker ps -a --filter 'volume=/app' --filter 'ancestor=mongo',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Find the containers that have the ancestor as mongo and volumes set to /app.

### Response:
docker ps -a --filter 'volume=/app' --filter 'ancestor=mongo'</s>"
Get me the Docker image IDs. ,docker images --quiet,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Get me the Docker image IDs. 

### Response:
docker images --quiet</s>"
Tell me the status and sizes of the containers that are currently running.  ,docker ps -s,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Tell me the status and sizes of the containers that are currently running.  

### Response:
docker ps -s</s>"
"Retrieve the nginx images' repository, tag, and ID.","docker images nginx --format ""{{.Repository}},{{.Tag}},{{.ID}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Retrieve the nginx images' repository, tag, and ID.

### Response:
docker images nginx --format ""{{.Repository}},{{.Tag}},{{.ID}}""</s>"
Please login to the new registry using your username and password.,"""docker login newregistry.example.org --username=marydoe --password=herpassword""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please login to the new registry using your username and password.

### Response:
""docker login newregistry.example.org --username=marydoe --password=herpassword""</s>"
List the running containers that have the ACME label from vendor ACME.,docker ps -a --filter 'label=com.example.vendor=ACME' --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
List the running containers that have the ACME label from vendor ACME.

### Response:
docker ps -a --filter 'label=com.example.vendor=ACME' --filter 'status=running'</s>"
Give me a list of all the images in Docker.,docker images,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me a list of all the images in Docker.

### Response:
docker images</s>"
"Docker, I want to see all the running containers, but only those with the 'network=host' filter.",docker ps --filter 'network=host',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Docker, I want to see all the running containers, but only those with the 'network=host' filter.

### Response:
docker ps --filter 'network=host'</s>"
"Don't keep me hanging, show me the details of the recently executed container immediately.",docker ps -l,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Don't keep me hanging, show me the details of the recently executed container immediately.

### Response:
docker ps -l</s>"
Retrieve the running containers that are marked as unhealthy.,docker ps --filter 'status=running' --filter 'health=unhealthy',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Retrieve the running containers that are marked as unhealthy.

### Response:
docker ps --filter 'status=running' --filter 'health=unhealthy'</s>"
Please display the running containers. ,docker ps --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please display the running containers. 

### Response:
docker ps --filter 'status=running'</s>"
"Retrieve the repository, tag, and digest information for the images.","docker images --digests --format ""{{.Repository}},{{.Tag}},{{.Digest}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Retrieve the repository, tag, and digest information for the images.

### Response:
docker images --digests --format ""{{.Repository}},{{.Tag}},{{.Digest}}""</s>"
Get me the containers that are currently running and have the Ubuntu image. ,docker ps --filter 'status=running' --filter 'ancestor=ubuntu',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Get me the containers that are currently running and have the Ubuntu image. 

### Response:
docker ps --filter 'status=running' --filter 'ancestor=ubuntu'</s>"
Show me the images that are not being used by any containers.  ,"docker images --filter ""dangling=true"" --format ""{{.Repository}},{{.Tag}},{{.ID}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show me the images that are not being used by any containers.  

### Response:
docker images --filter ""dangling=true"" --format ""{{.Repository}},{{.Tag}},{{.ID}}""</s>"
"Docker, please terminate all the containers linked to my image.","""docker stop $(docker ps -q --filter ancestor=my_image)""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Docker, please terminate all the containers linked to my image.

### Response:
""docker stop $(docker ps -q --filter ancestor=my_image)""</s>"
List all running containers with an unhealthy health status.,docker ps --filter 'status=running' --filter 'health=unhealthy',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
List all running containers with an unhealthy health status.

### Response:
docker ps --filter 'status=running' --filter 'health=unhealthy'</s>"
"Display the containers that are named ""my-container"", please. ",docker ps --filter 'name=my-container',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Display the containers that are named ""my-container"", please. 

### Response:
docker ps --filter 'name=my-container'</s>"
Please show the running containers that have been created before 3e33ad9a0b2e.,docker ps --filter 'before=3e33ad9a0b2e',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please show the running containers that have been created before 3e33ad9a0b2e.

### Response:
docker ps --filter 'before=3e33ad9a0b2e'</s>"
Provide me the list of containers with port 80 exposed. ,docker ps --filter 'expose=80',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Provide me the list of containers with port 80 exposed. 

### Response:
docker ps --filter 'expose=80'</s>"
"Fetch the details of the three latest containers, including the inactive ones.",docker ps -a -n 3,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Fetch the details of the three latest containers, including the inactive ones.

### Response:
docker ps -a -n 3</s>"
"Can you display the repositories and tags of your images, please?","docker images --format ""{{.Repository}},{{.Tag}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Can you display the repositories and tags of your images, please?

### Response:
docker images --format ""{{.Repository}},{{.Tag}}""</s>"
Give me a list of containers that are currently healthy.,docker ps --filter 'health=healthy',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me a list of containers that are currently healthy.

### Response:
docker ps --filter 'health=healthy'</s>"
Provide me with the complete details of running containers.,docker ps --no-trunc,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Provide me with the complete details of running containers.

### Response:
docker ps --no-trunc</s>"
Fetch me the full details of all active containers without any truncation.,docker ps --no-trunc,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Fetch me the full details of all active containers without any truncation.

### Response:
docker ps --no-trunc</s>"
"Could you display all the images along with their repository, tag, and ID?","docker images --no-trunc --format ""{{.Repository}},{{.Tag}},{{.ID}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Could you display all the images along with their repository, tag, and ID?

### Response:
docker images --no-trunc --format ""{{.Repository}},{{.Tag}},{{.ID}}""</s>"
"List all containers with the name ""my-container"". ",docker ps --filter 'name=my-container',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
List all containers with the name ""my-container"". 

### Response:
docker ps --filter 'name=my-container'</s>"
"List all the containers with exited status, please.",docker ps -a --filter 'status=exited',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
List all the containers with exited status, please.

### Response:
docker ps -a --filter 'status=exited'</s>"
Show running containers filtered with the Ubuntu ancestor.,docker ps --filter 'ancestor=ubuntu',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show running containers filtered with the Ubuntu ancestor.

### Response:
docker ps --filter 'ancestor=ubuntu'</s>"
Display all the containers that have exited prior to container 4f66ad9a0b2e.,docker ps -a --filter 'before=4f66ad9a0b2e' --filter 'status=exited',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Display all the containers that have exited prior to container 4f66ad9a0b2e.

### Response:
docker ps -a --filter 'before=4f66ad9a0b2e' --filter 'status=exited'</s>"
Make sure to login to the new registry using your username and password.,"""docker login newregistry.example.org --username=marydoe --password=herpassword""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Make sure to login to the new registry using your username and password.

### Response:
""docker login newregistry.example.org --username=marydoe --password=herpassword""</s>"
"Show me the repository, tag, and ID of the nginx images.","docker images nginx --format ""{{.Repository}},{{.Tag}},{{.ID}}""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show me the repository, tag, and ID of the nginx images.

### Response:
docker images nginx --format ""{{.Repository}},{{.Tag}},{{.ID}}""</s>"
"I want to see the list of all containers, including the inactive ones. Show me the information about the first three.",docker ps -a -n 3,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
I want to see the list of all containers, including the inactive ones. Show me the information about the first three.

### Response:
docker ps -a -n 3</s>"
"Dear Docker, please log in to yetanotherregistry.example.net with the credentials of user ""marydoe"" and her password.","""docker login yetanotherregistry.example.net --username=marydoe --password=herpassword""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Dear Docker, please log in to yetanotherregistry.example.net with the credentials of user ""marydoe"" and her password.

### Response:
""docker login yetanotherregistry.example.net --username=marydoe --password=herpassword""</s>"
Fetch me the containers that are running and are on the network my-network.,docker ps -a --filter 'network=my-network' --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Fetch me the containers that are running and are on the network my-network.

### Response:
docker ps -a --filter 'network=my-network' --filter 'status=running'</s>"
Please gracefully terminate confusioner by killing it with a SIGHUP signal.,"""docker kill -s SIGHUP confusioner""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please gracefully terminate confusioner by killing it with a SIGHUP signal.

### Response:
""docker kill -s SIGHUP confusioner""</s>"
Fetch all the containers that have the status running on my-network network.,docker ps -a --filter 'network=my-network' --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Fetch all the containers that have the status running on my-network network.

### Response:
docker ps -a --filter 'network=my-network' --filter 'status=running'</s>"
Display all running containers that are part of the frontend network.,docker ps -a --filter 'network=frontend-network' --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Display all running containers that are part of the frontend network.

### Response:
docker ps -a --filter 'network=frontend-network' --filter 'status=running'</s>"
Show me the information of the last executed container ASAP.,docker ps -l,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show me the information of the last executed container ASAP.

### Response:
docker ps -l</s>"
"Hey there, please stop all the running containers gracefully within 5 seconds.","""docker stop -t 5 $(docker ps -q --filter status=running)""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Hey there, please stop all the running containers gracefully within 5 seconds.

### Response:
""docker stop -t 5 $(docker ps -q --filter status=running)""</s>"
"List all containers with the volume set as ""/data"" and the ancestor set as ""postgres"".",docker ps -a --filter 'volume=/data' --filter 'ancestor=postgres',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
List all containers with the volume set as ""/data"" and the ancestor set as ""postgres"".

### Response:
docker ps -a --filter 'volume=/data' --filter 'ancestor=postgres'</s>"
Please halt my_container gracefully after 10 seconds.,"""docker stop -t 10 my_container""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please halt my_container gracefully after 10 seconds.

### Response:
""docker stop -t 10 my_container""</s>"
Retrieve the running Docker containers created since 4f66ad9a0b2e.,docker ps -a --filter 'since=4f66ad9a0b2e' --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Retrieve the running Docker containers created since 4f66ad9a0b2e.

### Response:
docker ps -a --filter 'since=4f66ad9a0b2e' --filter 'status=running'</s>"
"Hand over the names, images, and status of the containers.",docker ps --format '{{.Names}}\t{{.Image}}\t{{.Status}}',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Hand over the names, images, and status of the containers.

### Response:
docker ps --format '{{.Names}}\t{{.Image}}\t{{.Status}}'</s>"
I need to view the details of the last 4 containers. ,docker ps --last 4,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
I need to view the details of the last 4 containers. 

### Response:
docker ps --last 4</s>"
Get rid of all the dangling images.,docker images -f dangling=true,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Get rid of all the dangling images.

### Response:
docker images -f dangling=true</s>"
Can you show me the details of the running containers?,docker ps -n 5,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Can you show me the details of the running containers?

### Response:
docker ps -n 5</s>"
Give me the containers that are running on the network my-network.,docker ps -a --filter 'network=my-network' --filter 'status=running',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me the containers that are running on the network my-network.

### Response:
docker ps -a --filter 'network=my-network' --filter 'status=running'</s>"
Give me a list of all the Docker images and their digests. ,docker images --digests,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me a list of all the Docker images and their digests. 

### Response:
docker images --digests</s>"
Give me the containers that have exited and are based on the Alpine image.,docker ps -a --filter 'status=exited' --filter 'ancestor=alpine',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me the containers that have exited and are based on the Alpine image.

### Response:
docker ps -a --filter 'status=exited' --filter 'ancestor=alpine'</s>"
Get the digests of all the available Docker images. ,docker images --digests,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Get the digests of all the available Docker images. 

### Response:
docker images --digests</s>"
Display all the containers running the Ubuntu image. ,docker ps --filter 'status=running' --filter 'ancestor=ubuntu',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Display all the containers running the Ubuntu image. 

### Response:
docker ps --filter 'status=running' --filter 'ancestor=ubuntu'</s>"
"""Docker, I need you to log in using the username johndoe.""","""docker login --username=johndoe""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
""Docker, I need you to log in using the username johndoe.""

### Response:
""docker login --username=johndoe""</s>"
"Log in now, Docker! Use your username and password for the authentication process.","""docker login --username=johndoe --password=mypassword""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Log in now, Docker! Use your username and password for the authentication process.

### Response:
""docker login --username=johndoe --password=mypassword""</s>"
Display the sizes of all the containers.  ,docker ps -s,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Display the sizes of all the containers.  

### Response:
docker ps -s</s>"
Give me the details of any containers created since 3e33ad9a0b2e.,docker ps --filter 'since=3e33ad9a0b2e',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Give me the details of any containers created since 3e33ad9a0b2e.

### Response:
docker ps --filter 'since=3e33ad9a0b2e'</s>"
Please show me the running containers with port 443 exposed.,docker ps -a --filter 'status=running' --filter 'expose=443',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please show me the running containers with port 443 exposed.

### Response:
docker ps -a --filter 'status=running' --filter 'expose=443'</s>"
"Display the details of the three latest containers, including the inactive ones.",docker ps -a -n 3,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Display the details of the three latest containers, including the inactive ones.

### Response:
docker ps -a -n 3</s>"
Show me the list of all containers along with their status. ,docker ps -a,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Show me the list of all containers along with their status. 

### Response:
docker ps -a</s>"
"Hey Docker, can you list all the containers with exited status, please?",docker ps -a --filter 'status=exited',translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Hey Docker, can you list all the containers with exited status, please?

### Response:
docker ps -a --filter 'status=exited'</s>"
Please provide me with the information of the three most recent containers.,docker ps -a -n 3,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
Please provide me with the information of the three most recent containers.

### Response:
docker ps -a -n 3</s>"
"You can access anotherregistry.example.com by logging in with your username as ""johndoe"" and password as ""mypassword"".","""docker login anotherregistry.example.com --username=johndoe --password=mypassword""",translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
You can access anotherregistry.example.com by logging in with your username as ""johndoe"" and password as ""mypassword"".

### Response:
""docker login anotherregistry.example.com --username=johndoe --password=mypassword""</s>"
What images are there since the nginx:alpine image?,docker images -f since=nginx:alpine,translate this sentence in docker command,"You are an expert in Docker commands.

### Instruction:
translate this sentence in docker command

### Input:
What images are there since the nginx:alpine image?

### Response:
docker images -f since=nginx:alpine</s>"
